H2O,CO2,O3,CO,N2O,CH4,O2,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3,XS
5.119E+023,5.131E+023,5.133E+023,5.133E+023,5.133E+023,5.132E+023,4.06E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,1.124E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023,5.133E+023
5.015E+023,5.025E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,3.976E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,1.101E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023,5.027E+023
4.932E+023,4.941E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,3.909E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,1.082E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023,4.942E+023
4.849E+023,4.856E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,3.843E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,1.064E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023,4.858E+023
4.765E+023,4.772E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,3.776E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,1.045E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023,4.773E+023
4.681E+023,4.687E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,3.709E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,1.027E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023,4.689E+023
4.577E+023,4.582E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,3.625E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,1.004E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023,4.583E+023
4.493E+023,4.497E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,3.559E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,9.852E+022,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023,4.499E+023
4.409E+023,4.413E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,3.492E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,9.667E+022,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023,4.414E+023
4.304E+023,4.307E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,3.408E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,9.436E+022,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023,4.308E+023
